,"MagArray (490km, 1s step, ~94min total length for each, {x y z})","MagArray (520km, 1s step)","MagArray (490km, 0.5s step)","MagArray (520km, 0.5s step)"
,{    0.245421795        0.096131259        0.226325003},{    0.241646334        0.094592777        0.223205413},{    0.245421795        0.096131259        0.226325003},{    0.241646334        0.094592777        0.223205413}
,{    0.244923770        0.096283909        0.226592333},{    0.241159398        0.094741627        0.223467098},{    0.245172866        0.096207761        0.226458699},{    0.241402947        0.094667373        0.223336285}
,{    0.244425082        0.096435146        0.226859415},{    0.240671822        0.094889103        0.223728542},{    0.244923770        0.096283909        0.226592333},{    0.241159398        0.094741627        0.223467098}
,{    0.243925736        0.096584969        0.227126247},{    0.240183609        0.095035206        0.223989744},{    0.244674509        0.096359705        0.226725905},{    0.240915690        0.094815537        0.223597850}
,{    0.243425736        0.096733374        0.227392827},{    0.239694762        0.095179932        0.224250701},{    0.244425082        0.096435146        0.226859415},{    0.240671822        0.094889103        0.223728542}
,{    0.242925085        0.096880361        0.227659152},{    0.239205287        0.095323281        0.224511412},{    0.244175491        0.096510234        0.226992863},{    0.240427795        0.094962326        0.223859174}
,{    0.242423788        0.097025927        0.227925222},{    0.238715187        0.095465251        0.224771875},{    0.243925736        0.096584969        0.227126247},{    0.240183609        0.095035206        0.223989744}
,{    0.241921848        0.097170072        0.228191035},{    0.238224465        0.095605839        0.225032088},{    0.243675817        0.096659348        0.227259568},{    0.239939264        0.095107741        0.224120253}
,{    0.241419271        0.097312793        0.228456588},{    0.237733125        0.095745045        0.225292049},{    0.243425736        0.096733374        0.227392827},{    0.239694762        0.095179932        0.224250701}
,{    0.240916059        0.097454088        0.228721880},{    0.237241172        0.095882867        0.225551757},{    0.243175491        0.096807045        0.227526021},{    0.239450103        0.095251779        0.224381087}
,{    0.240412216        0.097593956        0.228986909},{    0.236748610        0.096019303        0.225811210},{    0.242925085        0.096880361        0.227659152},{    0.239205287        0.095323281        0.224511412}
,{    0.239907748        0.097732395        0.229251674},{    0.236255442        0.096154351        0.226070407},{    0.242674517        0.096953322        0.227792219},{    0.238960315        0.095394438        0.224641674}
,{    0.239402658        0.097869404        0.229516172},{    0.235761671        0.096288010        0.226329344},{    0.242423788        0.097025927        0.227925222},{    0.238715187        0.095465251        0.224771875}
,{    0.238896949        0.098004981        0.229780401},{    0.235267303        0.096420279        0.226588022},{    0.242172898        0.097098177        0.228058161},{    0.238469903        0.095535718        0.224902012}
,{    0.238390627        0.098139124        0.230044361},{    0.234772341        0.096551155        0.226846438},{    0.241921848        0.097170072        0.228191035},{    0.238224465        0.095605839        0.225032088}
,{    0.237883695        0.098271831        0.230308048},{    0.234276789        0.096680638        0.227104589},{    0.241670639        0.097241610        0.228323844},{    0.237978872        0.095675615        0.225162100}
,{    0.237376157        0.098403101        0.230571462},{    0.233780651        0.096808725        0.227362476},{    0.241419271        0.097312793        0.228456588},{    0.237733125        0.095745045        0.225292049}
,{    0.236868018        0.098532933        0.230834600},{    0.233283931        0.096935415        0.227620095},{    0.241167744        0.097383618        0.228589267},{    0.237487225        0.095814129        0.225421935}
,{    0.236359281        0.098661324        0.231097461},{    0.232786633        0.097060707        0.227877445},{    0.240916059        0.097454088        0.228721880},{    0.237241172        0.095882867        0.225551757}
,{    0.235849951        0.098788273        0.231360043},{    0.232288760        0.097184599        0.228134524},{    0.240664216        0.097524200        0.228854428},{    0.236994967        0.095951258        0.225681516}
,{    0.235340032        0.098913779        0.231622343},{    0.231790318        0.097307090        0.228391331},{    0.240412216        0.097593956        0.228986909},{    0.236748610        0.096019303        0.225811210}
,{    0.234829528        0.099037840        0.231884361},{    0.231291309        0.097428177        0.228647863},{    0.240160060        0.097663354        0.229119325},{    0.236502101        0.096087000        0.225940841}
,{    0.234318443        0.099160454        0.232146095},{    0.230791738        0.097547860        0.228904120},{    0.239907748        0.097732395        0.229251674},{    0.236255442        0.096154351        0.226070407}
,{    0.233806782        0.099281620        0.232407542},{    0.230291610        0.097666137        0.229160099},{    0.239655280        0.097801079        0.229383956},{    0.236008631        0.096221354        0.226199908}
,{    0.233294548        0.099401336        0.232668701},{    0.229790927        0.097783007        0.229415799},{    0.239402658        0.097869404        0.229516172},{    0.235761671        0.096288010        0.226329344}
,{    0.232781746        0.099519601        0.232929570},{    0.229289694        0.097898468        0.229671217},{    0.239149881        0.097937372        0.229648320},{    0.235514562        0.096354318        0.226458716}
,{    0.232268380        0.099636413        0.233190147},{    0.228787915        0.098012519        0.229926352},{    0.238896949        0.098004981        0.229780401},{    0.235267303        0.096420279        0.226588022}
,{    0.231754454        0.099751771        0.233450431},{    0.228285595        0.098125159        0.230181203},{    0.238643865        0.098072232        0.229912415},{    0.235019896        0.096485891        0.226717263}
,{    0.231239973        0.099865673        0.233710419},{    0.227782736        0.098236385        0.230435768},{    0.238390627        0.098139124        0.230044361},{    0.234772341        0.096551155        0.226846438}
,{    0.230724940        0.099978119        0.233970111},{    0.227279344        0.098346197        0.230690044},{    0.238137237        0.098205657        0.230176239},{    0.234524639        0.096616071        0.226975546}
,{    0.230209360        0.100089105        0.234229503},{    0.226775423        0.098454592        0.230944031},{    0.237883695        0.098271831        0.230308048},{    0.234276789        0.096680638        0.227104589}
,{    0.229693238        0.100198632        0.234488595},{    0.226270976        0.098561571        0.231197726},{    0.237630002        0.098337646        0.230439789},{    0.234028793        0.096744856        0.227233566}
,{    0.229176577        0.100306697        0.234747385},{    0.225766007        0.098667131        0.231451128},{    0.237376157        0.098403101        0.230571462},{    0.233780651        0.096808725        0.227362476}
,{    0.228659381        0.100413299        0.235005870},{    0.225260522        0.098771271        0.231704235},{    0.237122163        0.098468197        0.230703066},{    0.233532364        0.096872245        0.227491319}
,{    0.228141656        0.100518436        0.235264049},{    0.224754523        0.098873990        0.231957045},{    0.236868018        0.098532933        0.230834600},{    0.233283931        0.096935415        0.227620095}
,{    0.227623406        0.100622109        0.235521920},{    0.224248015        0.098975287        0.232209557},{    0.236613724        0.098597309        0.230966065},{    0.233035354        0.096998236        0.227748803}
,{    0.227104634        0.100724314        0.235779482},{    0.223741002        0.099075159        0.232461768},{    0.236359281        0.098661324        0.231097461},{    0.232786633        0.097060707        0.227877445}
,{    0.226585345        0.100825050        0.236036733},{    0.223233489        0.099173607        0.232713678},{    0.236104690        0.098724979        0.231228787},{    0.232537768        0.097122828        0.228006018}
,{    0.226065543        0.100924317        0.236293670},{    0.222725479        0.099270628        0.232965284},{    0.235849951        0.098788273        0.231360043},{    0.232288760        0.097184599        0.228134524}
,{    0.225545233        0.101022113        0.236550292},{    0.222216977        0.099366221        0.233216584},{    0.235595065        0.098851207        0.231491228},{    0.232039610        0.097246020        0.228262961}
,{    0.225024419        0.101118436        0.236806598},{    0.221707987        0.099460385        0.233467578},{    0.235340032        0.098913779        0.231622343},{    0.231790318        0.097307090        0.228391331}
,{    0.224503106        0.101213285        0.237062585},{    0.221198513        0.099553119        0.233718263},{    0.235084853        0.098975990        0.231753388},{    0.231540884        0.097367809        0.228519631}
,{    0.223981297        0.101306660        0.237318252},{    0.220688559        0.099644422        0.233968637},{    0.234829528        0.099037840        0.231884361},{    0.231291309        0.097428177        0.228647863}
,{    0.223458997        0.101398558        0.237573597},{    0.220178129        0.099734292        0.234218699},{    0.234574058        0.099099328        0.232015264},{    0.231041594        0.097488194        0.228776026}
,{    0.222936212        0.101488979        0.237828618},{    0.219667228        0.099822728        0.234468447},{    0.234318443        0.099160454        0.232146095},{    0.230791738        0.097547860        0.228904120}
,{    0.222412944        0.101577920        0.238083314},{    0.219155861        0.099909729        0.234717880},{    0.234062684        0.099221218        0.232276854},{    0.230541743        0.097607175        0.229032144}
,{    0.221889198        0.101665382        0.238337682},{    0.218644030        0.099995294        0.234966995},{    0.233806782        0.099281620        0.232407542},{    0.230291610        0.097666137        0.229160099}
